	SRR6450951	SRR6450978	SRR6450960	SRR6450957	SRR6450980	SRR6450948	SRR6450953	SRR6450959	SRR6450975	SRR6450977	SRR6450981	SRR6450955	SRR6450958	SRR6450972	SRR6450947	SRR6450971	SRR6450973	SRR6450954	SRR6450961	SRR6450952	SRR6450950	SRR6450949	SRR6450956	SRR6450976	SRR6450979	SRR6450974
g__Blautia	1100.27140027874	26279.3914246196	3534.00452023833	105.75296108291	2083.85956049507	1103.97035051059	391.598433606266	2565.70507549093	5375.39342928882	2015.89455320799	13775.9873390403	0	3544.97689434703	2800.5170185265	69.2281066112842	485.68739944753	2292.54229045815	3350.94220610265	114077.39764442	1903.83602705878	449.780299622877	182.066454255803	1101.00061526505	34.7898691900919	1069.55338043689	1866.14212941948
g__Butyricicoccus	0	0	0	0	31.5736297044709	0	0	526.298477023782	0	0	0	0	0	0	0	0	764.180763486053	1103.8397855397	0	0	0	0	0	0	0	0
g__Butyricimonas	0	4894.13767422066	328.7446065338	141.003948110547	0	0	1388.39444642222	427.617512581822	35.3644304558475	0	0	37.5304935259899	0	6785.86816027574	0	0	451.561360241759	0	0	5103.90083849799	0	0	0	0	32.4107084980877	504.362737680941
g__Candidatus Solibacter	0	0	0	0	0	0	0	65.7873096279728	0	0	0	0	0	0	0	0	0	39.4228494835607	0	40.5071495118888	0	0	0	0	0	50.4362737680941
g__Christensenella	0	212.788594531333	41.0930758167249	0	0	0	0	0	0	0	0	0	0	1615.68289530375	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium	3117.43563412308	7660.389403128	41.0930758167249	564.015792442188	2967.92119222026	354.847612664117	355.998576005696	18288.8720765764	19202.8857375252	3450.28106222136	1582.6199553989	3039.96997560519	66468.3167690067	969.40973718225	9345.79439252336	2215.94875997936	19556.0804473931	275.959946384925	4935.50196298375	1539.27168145178	8372.83326990279	318.616294947657	2590.58968297659	313.108822710826	5023.6598172036	26781.661370858
g__Collinsella	256.729993398371	319.182891797	2054.65379083625	0	0	0	0	4835.36725765599	1980.40810552746	0	0	0	0	8024.55838000861	207.684319833852	91.066387396412	5592.41376914793	0	0	121.521448535667	138.3939383455	0	32.3823710372073	5357.63985527414	615.803461463667	907.852927825693
g__Coprococcus	110.027140027874	1063.94297265666	3739.46989932197	0	0	197.137562591176	35.5998576005696	1249.95888293148	176.822152279237	387.672029463074	35.9686353499748	0	0	269.280482550625	0	60.7109249309413	903.122720483517	197.114247417803	448.681996634885	445.578644630777	34.5984845863752	0	64.7647420744147	0	194.464250988527	4135.77444898371
g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	1139.45685889726	0	0	0	0	0	392.596747055525	0	0	0	0	0	0	50.4362737680941
g__Cronobacter	0	0	0	0	0	39.4275125182352	0	0	0	0	0	0	0	0	138.456213222569	0	0	0	0	283.550046583223	0	0	0	0	0	0
g__Delftia	0	0	0	0	0	0	0	0	0	77.5344058926148	0	0	126.606317655251	269.280482550625	0	0	34.735489249366	0	0	0	0	91.0332271279016	0	34.7898691900919	0	0
g__Desulfovibrio	0	0	0	0	0	0	0	0	0	2403.56658267105	0	0	0	0	0	880.30841149865	0	0	0	0	0	0	1392.44195459991	0	0	0
g__Dialister	105149.270153305	3617.40610703266	0	19035.5329949239	153921.444809296	6426.68454047235	213.599145603417	5855.07055688957	636.559748205255	0	71.9372706999497	262.713454681929	157308.349686649	1346.40241275312	415.368639667705	1699.90589806635	9204.904651082	15808.5626429079	61413.3482893999	0	242.189392104626	182.066454255803	1198.14772837667	139.159476760367	32.4107084980877	605.235285217129
g__Dorea	1650.40710041811	23832.3225875092	7972.05670844463	7543.71122391427	4893.91260419298	670.267712809998	213.599145603417	13420.6111641064	601.195317749408	1628.22252374491	6474.35436299547	0	27916.6930429828	2315.81214993537	34.6140533056421	941.01933642959	14137.344124492	56611.2118583931	25238.3623107123	20780.167699599	449.780299622877	227.583067819754	1554.35380978596	37086.0005566378	550.982044467492	8826.34790941646
g__Eggerthella	0	0	41.0930758167249	423.011844331641	157.868148522354	78.8550250364705	35.5998576005696	65.7873096279728	35.3644304558475	38.7672029463074	755.341342349471	0	4304.61480027853	0	0	0	138.941956997464	236.537096901364	0	121.521448535667	34.5984845863752	0	0	0	0	100.872547536188
g__Eikenella	0	0	0	352.509870276367	0	0	0	0	0	0	107.905906049924	0	0	0	0	0	0	0	0	1053.18588730911	0	0	0	0	0	0
g__Enterobacter	0	0	0	70.5019740552736	0	867.405275401175	71.1997152011392	0	0	2054.6617561543	0	0	0	0	69.2281066112842	1608.83951066995	0	0	6730.22994952328	729.128691213999	0	0	1716.26566497199	0	0	1059.16174912998
g__Enterococcus	0	0	164.3723032669	0	0	197.137562591176	0	0	0	0	0	37.5304935259899	822.94106475913	0	0	333.910087120177	0	39.4228494835607	1121.70499158721	0	0	910.332271279016	323.823710372074	0	0	0
g__Erwinia	0	0	0	0	0	275.992587627647	0	0	0	310.137623570459	0	0	0	0	0	91.066387396412	0	0	3140.77397644419	121.521448535667	0	0	32.3823710372073	0	0	403.490190144752
g__Escherichia	0	0	0	0	31.5736297044709	118.282537554706	0	0	0	38.7672029463074	0	150.121974103959	379.818952965752	0	34.6140533056421	0	0	0	280.426247896803	40.5071495118888	0	1001.36549840692	64.7647420744147	0	0	252.18136884047
g__Eubacterium	293.405706740996	8617.938078519	8177.52208752825	1903.55329949239	1199.79792876989	197.137562591176	0	657.873096279728	0	348.904826516766	2625.71038054816	37.5304935259899	2848.64214724314	807.841447651874	173.07026652821	60.7109249309413	555.767827989857	157.691397934242	25574.8738081884	121.521448535667	0	45.5166135639509	64.7647420744147	104.369607570276	0	50.4362737680941
g__Faecalibacterium	0	39791.4671773593	25148.9623998356	45967.2870840384	37698.9138671381	31029.4523518511	34638.6614453542	24966.2840038157	14075.0433214273	193.836014731537	154269.477016042	825.670857571777	1329.36633538013	51701.85264972	34.6140533056421	3946.21012051119	18583.4867484109	39.4228494835607	729.108244531688	0	103.795453759125	273.099681383705	5602.15018943687	206651.822989146	64.8214169961755	252.18136884047
g__Fusobacterium	101518.374532385	531.971486328332	575.303061434149	221834.461364919	157.868148522354	197.137562591176	1815.59273762905	188875.36594191	155037.663118436	40162.8222523745	20502.1221494857	490598.61137174	443.122111793378	269.280482550625	115437.867774316	485.68739944753	201049.011775331	39.4228494835607	120358.945597308	363673.188317738	3356.05300487839	2093.76422394174	550.500307632525	4279.15391038129	48486.4199131392	634286.57890755
g__Gemella	183.378566713123	0	0	1692.04737732656	0	0	35.5998576005696	0	0	77.5344058926148	0	0	0	53.8560965101249	0	0	0	0	112.170499158721	40.5071495118888	0	409.649522075557	0	0	0	0
g__Granulicatella	623.487126824617	106.394297265666	0	846.023688663283	31.5736297044709	0	177.999288002848	0	106.093291367542	775.344058926148	107.905906049924	112.59148057797	1266.06317655251	430.848772081	242.298373139494	151.777312327354	0	0	729.108244531688	0	0	4096.49522075557	129.52948414883	556.63790704147	64.8214169961755	806.980380289504
g__Haemophilus	9719.0640357955	106.394297265666	821.861516334498	23935.4201917653	63.1472594089416	3035.91846390411	9825.56069775721	98.680964441959	495.102026381865	155.068811785229	3129.27127544782	2289.36010508538	0	0	173.07026652821	2003.46052272107	34.735489249366	39.4228494835607	8132.3611890073	6400.12962287843	69.1969691727503	1137.91533909877	2104.85411741848	2609.24018925689	421.33921047514	50.4362737680941
g__Holdemania	0	6915.62932226833	780.768440517773	669.768753525098	63.1472594089416	39.4275125182352	249.199003203988	328.936548139864	106.093291367542	0	2194.08675634847	0	13356.966512629	269.280482550625	0	30.3554624654706	312.619403244294	0	0	202.535747559444	0	0	32.3823710372073	0	0	1160.03429666616
g__Kingella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.5071495118888	0	136.549840691852	0	34.7898691900919	0	0
g__Klebsiella	0	0	0	0	0	394.275125182352	2207.19117123532	0	0	232.603217677845	0	638.018389941828	0	0	242.298373139494	27168.1389065962	0	0	7851.9349411105	1134.20018633289	0	0	35976.8142223373	0	32.4107084980877	6254.09794724366
g__Lachnospira	36.6757133426245	1063.94297265666	2342.30532155332	35.2509870276367	410.45718615812	197.137562591176	0	65.7873096279728	1662.12823142484	0	0	0	0	161.568289530375	0	0	34.735489249366	39.4228494835607	504.767246214247	40.5071495118888	0	45.5166135639509	32.3823710372073	0	0	0
g__Lactobacillus	623.487126824617	212.788594531333	82.1861516334498	0	63.1472594089416	78.8550250364705	71.1997152011392	0	212.186582735085	116.301608838922	0	562.957402889849	0	215.4243860405	726.895119418484	394.621012051119	173.67744624683	78.8456989671213	0	202.535747559444	0	2457.89713245335	388.588452446489	1530.75424436405	97.2321254942632	151.308821304282
g__Leptotrichia	1026.91997359349	1702.30875625066	0	35.2509870276367	0	0	0	32.8936548139864	0	0	0	0	0	0	138.456213222569	0	0	0	168.255748738082	0	0	45.5166135639509	0	0	0	0
g__Leuconostoc	0	212.788594531333	0	0	0	0	0	0	0	0	0	0	126.606317655251	0	0	0	0	0	0	0	0	91.0332271279016	0	0	0	0
g__Megamonas	3374.16562752146	229279.710607511	82.1861516334498	50091.6525662719	126.294518817883	39.4275125182352	254289.782840869	4539.32436433012	266081.974749796	84745.105640628	0	112.59148057797	0	215.4243860405	207442.021460713	6101.4479555596	4202.99419917329	0	224.340998317443	40.5071495118888	53143.2723246723	136.549840691852	6606.0036915903	452.268299471194	214494.068840345	151.308821304282
g__Megasphaera	183.378566713123	106.394297265666	0	35.2509870276367	347.309926749178	39.4275125182352	961.196155215379	263.149238511891	23340.5241008594	7830.9749951541	0	37.5304935259899	63.3031588276255	53.8560965101249	311.526479750779	73035.2426919224	173.67744624683	0	0	40.5071495118888	157769.08971387	182.066454255803	95139.4061073153	104.369607570276	35262.8508459195	403.490190144752
g__Mogibacterium	0	0	0	35.2509870276367	0	0	0	0	0	77.5344058926148	0	75.0609870519798	253.212635310501	0	0	30.3554624654706	0	0	0	0	0	0	0	0	0	0
g__Morganella	11332.795422871	0	41.0930758167249	2115.05922165821	63.1472594089416	78.8550250364705	0	32.8936548139864	0	38.7672029463074	863.247248399396	112.59148057797	63.3031588276255	0	6957.42471443406	27410.98260632	34.735489249366	0	0	0	0	630905.780609922	22861.9539522684	67109.6576676872	32.4107084980877	50.4362737680941
g__Neisseria	36.6757133426245	0	0	0	0	0	0	0	0	0	0	0	63.3031588276255	0	0	0	0	0	56.0852495793607	0	34.5984845863752	0	0	0	32.4107084980877	0
g__Nitrosotalea	73.3514266852491	0	0	0	0	39.4275125182352	0	0	70.728860911695	38.7672029463074	0	0	0	0	34.6140533056421	91.066387396412	34.735489249366	39.4228494835607	0	0	0	45.5166135639509	0	0	32.4107084980877	0
g__Odoribacter	7995.30550869215	1808.70305351634	780.768440517773	7719.96615905246	94.7208891134124	3824.46871426882	2100.3915984336	0	106.093291367542	465.206435355689	4603.98532479678	0	0	2800.5170185265	0	30.3554624654706	0	0	0	1215.21448535667	69.1969691727503	0	32.3823710372073	243.529084330642	32.4107084980877	252.18136884047
g__Oribacterium	36.6757133426245	0	0	141.003948110547	0	0	35.5998576005696	0	0	77.5344058926148	0	0	189.909476482876	0	0	0	0	0	0	0	0	0	0	0	32.4107084980877	100.872547536188
g__Oscillospira	38216.0933030148	49686.1368230663	17259.0918430244	1128.03158488437	23048.7496842636	25036.4704490794	5268.7789248843	4013.02588730633	6224.13976022916	310.137623570459	7589.38205884469	37.5304935259899	2089.00424131165	26766.4799655321	0	1699.90589806635	3751.43283893153	23929.6696365213	95513.1800336512	3200.06481143922	553.575753382002	0	2525.82494090218	2122.1820205956	3467.94580929539	42971.7052504162
g__Parabacteroides	74451.6980855278	44579.2105543142	29915.7591945757	33981.9514946419	15250.0631472594	48298.7028348382	27376.290494838	31742.3768954968	28256.1799342222	109866.253149835	23415.5816128336	2214.2991180334	320883.712097234	35598.8797931925	110141.917618553	102449.685820963	27475.7719962486	8791.29543483403	56.0852495793607	42816.0570340666	36120.8179081756	318.616294947657	98442.4079531103	17568.8839409963	72049.0049912491	9935.94593231452
g__Paraprevotella	0	22449.1967230556	4438.05218820628	0	0	0	10751.156995372	0	0	348.904826516766	0	0	63.3031588276255	2369.6682464455	0	0	0	0	56.0852495793607	2916.514764856	0	0	194.294226223244	0	0	100.872547536188
g__Parvimonas	0	0	41.0930758167249	11703.3276931754	0	0	35.5998576005696	0	0	0	539.529530249622	0	0	0	0	0	0	0	0	0	0	0	0	0	32.4107084980877	0
g__Peptostreptococcus	110.027140027874	0	0	5745.91088550479	0	197.137562591176	35.5998576005696	0	0	0	0	0	0	53.8560965101249	0	60.7109249309413	0	0	0	0	0	0	0	0	0	0
g__Phascolarctobacterium	220.054280055747	11490.584104692	88966.5091432093	10575.296108291	157.868148522354	96321.4130820486	21965.1121395515	4013.02588730633	35.3644304558475	42139.9496026362	98266.3117761312	0	0	4954.76087893149	0	10199.4353883981	5835.56219389349	236.537096901364	0	32932.3125531656	82655.7796768502	227.583067819754	11495.7417182086	15585.8613971611	13547.6761522007	113229.434609371
g__Plesiomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29934.7834892859	0	0	32.3823710372073	0	0	201.745095072377
g__Prevotella	366.757133426245	132886.477284818	149291.144442161	246.756909193457	568.325334680474	433.702637700587	676.397294410822	101049.307588566	212.186582735085	271.370420624152	359.686353499748	450.365922311879	316.515794138128	323.136579060749	153409.484250606	182.132774792824	98718.2604466983	78.8456989671213	729.108244531688	202.535747559444	340172.30045324	1365.49840691853	161.911855186037	52323.9632618981	41485.7068775523	151.308821304282
g__Proteus	0	0	0	35.2509870276367	63.1472594089416	0	0	0	0	0	0	1613.81122161756	0	0	0	7163.88914185108	0	0	0	1822.821728035	0	0	4857.35565558111	0	0	3278.35779492612
g__Pseudomonas	36.6757133426245	0	0	0	0	0	0	0	0	0	0	0	126.606317655251	269.280482550625	0	0	0	0	0	40.5071495118888	0	45.5166135639509	0	0	0	0
g__Pseudoramibacter_Eubacterium	0	0	0	35.2509870276367	63.1472594089416	0	0	0	0	0	107.905906049924	0	63.3031588276255	53.8560965101249	0	0	0	0	0	0	0	0	0	0	0	0
g__Roseburia	27946.8935670799	15639.961698053	6944.72981302651	0	0	4258.1713519694	0	65.7873096279728	24153.9060013439	0	0	0	0	15995.2606635071	69.2281066112842	424.976474516589	104.206467748098	275.959946384925	122714.526079641	81.0142990237776	0	0	453.353194520903	104.369607570276	32.4107084980877	50.4362737680941
g__Ruminococcus	15990.6110173843	25534.6313437601	100143.825765359	14840.665538635	12218.9946956302	5914.12687773528	1139.19544321823	121278.905299168	18141.9528238498	50978.8718743943	11545.9319473419	220266.466504034	202949.927201367	303155.967255494	242.298373139494	16361.5942688887	97224.6344089755	17819.1279665694	1906.89848569826	6967.22971604488	311.386361277376	955.848884842968	24740.1314724265	114702.198719733	5639.46327866727	12609.0684420235
g__Sarcina	73.3514266852491	0	0	176.254935138184	0	0	0	32.8936548139864	0	0	0	0	0	0	0	0	34.735489249366	0	560.852495793607	0	0	0	0	0	0	0
g__Selenomonas	110.027140027874	0	0	0	0	0	0	0	0	0	0	0	0	0	1696.08861197646	0	0	0	0	121.521448535667	0	0	0	0	0	50.4362737680941
g__Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.842159916926	91.066387396412	0	0	112.170499158721	0	0	3231.67956304051	161.911855186037	313.108822710826	0	100.872547536188
g__Shigella	36.6757133426245	0	0	0	31.5736297044709	0	0	0	0	0	0	75.0609870519798	253.212635310501	0	34.6140533056421	0	0	0	0	0	0	136.549840691852	0	0	0	0
g__SMB53	0	0	123.279227450175	70.5019740552736	0	0	0	32.8936548139864	0	0	0	112.59148057797	0	0	0	0	34.735489249366	0	0	0	0	0	0	0	0	0
g__Sphingomonas	0	0	0	0	0	0	0	0	0	38.7672029463074	0	0	253.212635310501	269.280482550625	0	0	0	0	0	0	0	273.099681383705	32.3823710372073	69.5797383801837	0	0
g__Streptococcus	8105.33264872002	35429.3009894669	904.047667967947	7614.21319796954	1641.82874463248	275.992587627647	8721.96511213955	1217.0652281175	141.45772182339	35859.6627253343	1258.90223724912	12197.4103959467	56339.8113565866	6839.72425678586	6507.4420214607	4583.67483228607	2292.54229045815	551.919892769849	19742.0078519349	2106.37177461822	69.1969691727503	19390.0773782431	4468.76720313462	14994.4336209296	810.267712452193	19670.1467695567
g__Sutterella	330.081420083621	2127.88594531333	13560.7150195192	13148.6181613085	31.5736297044709	72310.0579584434	39409.0423638306	26939.9032926549	2616.96785373272	14809.0715254894	106575.066541975	18089.6978795271	0	82722.9642395519	588.438906195915	6678.20174240355	30775.6434749383	13561.4602223448	168.255748738082	1134.20018633289	1626.12877555964	202503.413746017	6249.79761018102	8871.41664347342	5866.33823815387	1160.03429666616
g__Turicibacter	73.3514266852491	0	328.7446065338	35.2509870276367	0	0	71.1997152011392	98.680964441959	0	0	0	450.365922311879	0	0	0	0	208.412935496196	39.4228494835607	112.170499158721	0	0	0	0	0	0	0
g__Veillonella	42287.097484046	3830.19470156399	616.396137250874	10399.0411731528	663.046223793887	2681.07085124	24421.5023139907	1019.70329923358	10291.0492626516	155.068811785229	1438.74541399899	6042.40945768437	506.425270621003	53.8560965101249	170404.984423676	25437.8775460644	1181.00663447845	1931.71962469448	329052.159282109	53104.8730100863	69.1969691727503	10195.721438325	24124.8664227195	26301.1411077094	259.285667984702	7716.7498865184
g__Weissella	0	0	0	0	94.7208891134124	0	0	0	0	0	0	37.5304935259899	2848.64214724314	0	173.07026652821	0	0	0	112.170499158721	0	0	11652.2530723714	0	0	0	0
g__Zea	0	0	0	0	0	0	0	0	0	0	0	0	316.515794138128	0	0	0	0	0	56.0852495793607	0	0	45.5166135639509	0	0	0	0
