	SRR1562335	SRR1562291	SRR1562301	SRR1562306	SRR1562336	SRR1562340	SRR1562341	SRR1562308	SRR1562294	SRR1562330	SRR1562334	SRR1562343	SRR1562344	SRR1562304	SRR1562325	SRR1562297	SRR1562295	SRR1562296	SRR1562310	SRR1562333	SRR1562313	SRR1562319	SRR1562299	SRR1562338	SRR1562339	SRR1562329	SRR1562332	SRR1562298	SRR1562315	SRR1562324	SRR1562327	SRR1562331	SRR1562342	SRR1562317	SRR1562337	SRR1562321
g__Dialister	11520.7373271889	85034.0136054421	9132.4200913242	40579.7101449276	1163.69278510473	31088.0829015544	0	9280.74245939676	20833.3333333333	0	57833.8590956887	484.730974309259	33215.9033719174	25787.9656160458	34635.2247605011	48616.9321039398	63575.1682872103	1398.6013986014	36710.7195301028	43381.5350389322	23965.1416122004	5464.48087431694	8493.7712344281	2528.44500632111	0	32541.7766051011	16513.7614678899	13836.4779874214	49671.977507029	1605.13643659711	8781.55872667398	0	23255.8139534884	0	99315.0684931507	0
g__Dorea	11520.7373271889	27210.8843537415	20547.9452054795	10628.0193236715	6982.15671062839	12953.3678756477	2148.22771213748	4640.37122969838	1302.08333333333	3665.24129505193	5257.62355415353	4362.57876878333	15098.1378963261	6685.76886341928	5895.35740604274	4191.11483654651	1495.88631264024	11188.8111888112	10279.0014684288	4449.38820912125	0	46448.087431694	15288.7882219706	187737.041719343	3911.34289439374	6156.55233069481	84403.6697247706	21383.6477987422	1874.41424554827	24077.0465489567	1097.69484083425	17751.4792899408	9100.1011122346	2331.00233100233	0	0
g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1112.34705228031	0	0	0	0	0	0	0	60377.358490566	0	802.568218298555	0	0	5055.61172901922	4662.00466200466	0	11363.6363636364
g__Enterococcus	0	0	0	0	0	0	0	0	2604.16666666667	0	0	0	0	0	0	0	0	0	0	2224.69410456063	0	0	7927.51981879956	0	0	439.753737906772	0	0	0	0	0	0	0	0	0	0
g__Eubacterium	0	0	0	0	26764.9340574088	49222.7979274612	0	6960.55684454756	14322.9166666667	0	0	11148.8124091129	6039.25515853045	0	4421.51805453206	1676.44593461861	3739.71578160059	0	2936.85756240823	2224.69410456063	0	2732.24043715847	5096.26274065685	632.111251580279	1303.78096479791	879.507475813544	0	1257.86163522013	0	1605.13643659711	4939.62678375412	5917.15976331361	1011.12234580384	3496.5034965035	0	0
g__Faecalibacterium	76036.8663594471	0	357305.936073059	362318.84057971	322730.799069046	54404.1450777201	128893.662728249	67285.3828306264	127604.166666667	206475.259621258	115667.718191377	173048.957828405	333668.847508807	36294.1738299905	130434.782608696	132439.22883487	229618.548990276	367132.867132867	281938.325991189	174638.487208009	58823.5294117647	73770.4918032787	218006.795016988	73957.0164348924	135593.220338983	59366.7546174142	194495.412844037	61635.2201257863	57169.6344892221	341091.492776887	35126.2349066959	62130.1775147928	87967.6440849344	102564.102564103	8561.64383561643	22727.2727272728
g__Fusobacterium	0	0	0	0	1163.69278510473	58290.1554404144	0	0	0	0	0	0	0	0	15475.3131908622	0	0	7692.30769230769	0	0	2178.64923747277	13661.2021857923	0	0	0	10554.0897097625	0	0	0	14446.227929374	0	0	1011.12234580384	0	53082.191780822	0
g__Haemophilus	0	0	4566.21004566211	3864.73429951692	0	0	5370.56928034373	0	0	0	0	0	5032.71263210872	1910.21967526265	0	0	2243.82946896037	0	0	0	0	0	566.251415628539	0	0	0	0	1257.86163522013	0	0	0	29585.7988165681	0	1165.50116550117	0	0
g__Jonquetella	0	0	22831.0502283106	11594.2028985507	0	0	0	0	0	0	0	0	503.271263210872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802.568218298555	0	0	0	0	0	0
g__Lachnobacterium	0	0	0	0	2327.38557020947	0	0	0	0	0	0	484.730974309259	503.271263210872	0	2210.75902726603	0	0	699.300699300698	0	0	0	0	566.251415628539	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lachnospira	354838.709677419	3401.36054421769	3424.65753424657	94685.9903381644	116369.278510473	36269.4300518135	5370.56928034373	39443.1554524362	6510.41666666665	8552.22968845447	0	7270.96461463888	12581.7815802718	4775.54918815664	41267.5018422992	13411.5674769489	8227.37471952133	4895.10489510489	1468.42878120411	13348.1646273637	0	0	8493.7712344281	0	0	90589.2700087951	20183.4862385321	5031.44654088051	1874.41424554827	9630.81861958265	23600.4390779363	56213.0177514792	0	6993.00699300697	0	0
g__Lactobacillus	0	0	0	0	0	0	2148.22771213748	0	0	14660.9651802077	0	1938.92389723704	0	6685.76886341928	0	1676.44593461861	0	0	0	0	0	0	2265.00566251416	0	0	0	0	0	0	0	29637.7607025247	2958.57988165681	0	1165.50116550117	0	0
g__Megamonas	0	0	0	0	0	37564.7668393782	0	0	0	0	0	0	0	0	0	5029.33780385583	0	1398.6013986014	0	0	0	0	0	0	0	0	0	2515.72327044026	0	0	0	0	0	0	0	0
g__Megasphaera	0	0	0	0	0	0	0	2320.18561484918	0	0	0	19389.2389723704	11575.23905385	0	0	2514.66890192791	0	0	0	0	0	0	0	0	0	1319.26121372032	0	0	0	802.568218298555	0	0	0	0	0	0
g__Methylobacterium	0	3401.36054421769	1141.55251141553	5797.10144927536	3878.97595034911	12953.3678756477	11815.2524167562	0	15625	4276.11484422725	0	1938.92389723704	2013.08505284349	955.109837631328	3684.59837877671	3352.89186923723	2991.77262528049	10489.5104895105	13215.859030837	57842.0467185762	2178.64923747277	6830.60109289619	24348.8108720272	3792.66750948166	1303.78096479791	2198.76868953386	44036.6972477064	11320.7547169811	0	9630.81861958265	23051.5916575192	38461.5384615384	4044.48938321538	0	90753.4246575341	0
g__Micrococcus	0	6802.72108843538	0	0	0	2590.67357512953	0	6960.55684454756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566.251415628539	0	0	0	0	0	0	0	0	0	0	0	13698.6301369863	0
g__Mobiluncus	0	3401.36054421769	0	0	0	0	0	0	0	10384.8503359805	0	0	0	0	0	0	0	0	0	1112.34705228031	0	0	0	0	0	439.753737906772	0	0	0	4012.84109149276	0	0	0	0	1712.32876712329	0
g__Neisseria	0	0	2283.10502283106	0	0	0	16111.7078410312	0	0	0	0	0	0	0	0	838.222967309303	0	0	0	0	0	0	0	0	0	0	5504.58715596331	0	0	0	0	2958.57988165681	0	0	0	0
g__Odoribacter	0	0	0	0	0	0	48335.1235230935	199535.96287703	0	0	0	0	9562.15400100656	0	11053.7951363301	21793.7971500419	1495.88631264024	0	0	0	0	0	0	0	0	23306.9481090588	0	0	0	0	0	0	0	0	0	0
g__Oscillospira	23041.4746543778	0	99315.0684931506	6763.2850241546	8145.84949573312	10362.6943005181	68743.2867883997	11600.9280742459	0	21380.5742211362	7360.67297581493	24236.5487154629	32712.6321087066	8595.98853868195	84008.8430361091	6705.78373847443	29917.7262528049	11188.8111888112	41116.0058737152	8898.77641824249	69716.7755991285	64207.650273224	6228.76557191392	3792.66750948166	87353.3246414601	41336.8513632365	5504.58715596331	66666.6666666667	5623.2427366448	101123.595505618	10428.1009879254	20710.0591715977	247724.974721941	109557.10955711	17123.2876712329	0
g__Paenibacillus	0	6802.72108843538	1141.55251141553	0	0	0	0	4640.37122969838	15625	0	0	0	0	0	0	0	0	0	2936.85756240823	0	4357.29847494553	0	1132.50283125708	1896.33375474083	0	1319.26121372032	0	0	0	1605.13643659711	0	5917.15976331361	0	0	0	0
g__Parabacteroides	11520.7373271889	6802.72108843538	11415.5251141553	44444.4444444445	8921.64468580294	5181.34715025906	16111.7078410312	18561.4849187935	32552.0833333333	0	3154.57413249212	1938.92389723704	3019.62757926524	17191.9770773639	7369.19675755343	6705.78373847443	1495.88631264024	5594.40559440559	64610.8663729809	21134.5939933259	6535.9477124183	142076.502732241	26613.8165345413	1264.22250316056	14341.5906127771	53210.2022867194	5504.58715596331	8805.03144654089	1874.41424554827	7223.113964687	1097.69484083425	26627.2189349113	7077.8564206269	93240.0932400931	0	0
g__Paraprevotella	0	0	2283.10502283106	0	0	0	3222.34156820623	0	0	0	0	0	0	0	0	0	747.94315632012	0	0	1112.34705228031	0	0	0	0	0	2638.52242744063	0	1257.86163522013	0	0	0	0	0	0	0	0
g__Peptoniphilus	0	0	5707.76255707763	0	0	3886.0103626943	1074.11385606874	0	0	0	0	0	0	0	2210.75902726603	0	0	0	0	0	0	0	0	0	0	1759.01495162709	0	0	6560.44985941893	0	0	14792.899408284	0	0	0	0
g__Peptostreptococcus	0	0	0	0	387.897595034911	10362.6943005181	0	0	0	0	0	0	0	0	0	0	0	1398.6013986014	0	0	0	1366.12021857923	0	0	0	0	0	0	0	0	0	0	0	0	3424.65753424658	0
g__Phascolarctobacterium	20737.3271889402	0	17123.2876712329	0	0	11658.0310880829	30075.1879699249	0	15625	16493.5858277337	0	58167.716917111	24157.0206341218	0	0	0	33657.4420344054	16083.9160839161	0	0	15250.5446623094	0	19818.7995469989	0	0	0	11009.1743119266	0	1874.41424554827	10433.3868378812	0	23668.6390532544	3033.36703741154	9324.00932400932	0	0
g__Phyllobacterium	0	10204.0816326531	0	0	0	0	1074.11385606874	0	2604.16666666667	0	0	0	0	0	0	838.222967309303	0	699.300699300698	16152.7165932452	1112.34705228031	0	2732.24043715847	2831.25707814271	0	0	0	5504.58715596331	0	0	802.568218298555	3841.93194291986	0	3033.36703741154	0	8561.64383561643	0
g__Prevotella	2304.14746543778	44217.6870748298	43378.9954337899	12560.38647343	1551.59038013964	308290.155440415	8592.91084854995	0	348958.333333334	68417.8375076359	641430.07360673	539020.843431895	191243.080020131	0	25792.188651437	0	179506.357516829	30769.2307692308	2936.85756240823	15572.8587319244	50108.9324618736	6830.60109289619	0	17067.0037926675	1303.78096479791	19788.9182058047	36697.2477064219	3773.58490566038	736644.798500468	35313.0016051364	63666.3007683863	103550.295857988	2022.24469160768	3496.5034965035	54794.5205479452	0
g__Propionibacterium	4608.29493087559	13605.4421768708	0	0	1163.69278510473	0	1074.11385606874	0	37760.4166666666	4276.11484422725	0	0	0	0	0	838.222967309303	2243.82946896037	2797.2027972028	1468.42878120411	0	8714.59694989107	2732.24043715847	9626.27406568517	1896.33375474083	0	0	14678.8990825688	0	0	4815.40930979134	423161.361141603	68047.3372781065	4044.48938321538	0	13698.6301369863	0
g__Pseudomonas	0	57823.1292517006	4566.21004566211	0	1163.69278510473	0	4296.45542427497	2320.18561484918	6510.41666666665	284667.0739157	0	484.730974309259	1006.54252642174	0	1473.83935151069	2514.66890192791	0	1398.6013986014	22026.4317180617	1112.34705228031	23965.1416122004	64207.650273224	2831.25707814271	632.111251580279	10430.2477183833	2638.52242744063	11009.1743119266	16352.2012578616	0	8025.68218298555	5488.47420417124	41420.1183431952	0	170163.17016317	11986.301369863	875000
g__Ralstonia	0	0	0	0	0	0	0	2320.18561484918	0	1832.62064752596	0	969.461948618517	0	49665.711556829	0	0	0	0	26431.718061674	2224.69410456063	0	0	1698.75424688562	2528.44500632111	0	0	0	0	0	9630.81861958265	0	5917.15976331361	0	0	0	0
g__Roseburia	2304.14746543778	3401.36054421769	5707.76255707763	16425.1207729469	48875.0969743988	7772.0207253886	4296.45542427497	30162.4129930394	5208.33333333333	4886.98839340257	3154.57413249212	1454.19292292778	30699.5470558631	19102.1967526266	36845.9837877671	56999.1617770326	33657.4420344054	34265.7342657342	23494.8604992657	28921.0233592881	4357.29847494553	27322.4043715847	23216.3080407701	0	19556.7144719687	2638.52242744063	22018.3486238533	10062.893081761	937.207122774132	8025.68218298555	1097.69484083425	0	37411.5267947422	17482.5174825175	0	0
g__Ruminococcus	42626.7281105991	20408.1632653061	28538.8127853881	15458.9371980676	51590.3801396432	20725.3886010362	10741.1385606874	37122.969837587	50781.2499999999	13439.218081857	63091.4826498422	5816.7716917111	77503.7745344741	62082.1394460363	24318.3492999263	55322.7158424141	23934.1810022439	65734.2657342656	48458.1497797357	58954.3937708566	87145.9694989108	8196.7213114754	29445.0736126841	1264.22250316056	7822.68578878748	17590.1495162709	45871.5596330274	50314.4654088051	13120.8997188379	53772.0706260031	22502.7442371021	11834.3195266272	53589.4843276038	66433.5664335662	1712.32876712329	34090.9090909091
g__Salmonella	0	0	0	0	0	0	0	0	0	9773.97678680513	0	0	0	0	0	0	0	0	0	1112.34705228031	0	54644.8087431694	566.251415628539	17067.0037926675	0	0	0	8805.03144654089	0	1605.13643659711	0	0	1011.12234580384	0	1712.32876712329	0
g__Shewanella	0	0	0	1932.36714975846	0	0	0	13921.1136890951	0	0	0	0	503.271263210872	0	0	2514.66890192791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2958.57988165681	0	0	0	0
g__SMB53	3456.22119815668	0	1141.55251141553	0	0	0	0	0	0	0	2103.04942166141	484.730974309259	1006.54252642174	0	0	2514.66890192791	0	0	0	1112.34705228031	0	0	0	0	1303.78096479791	0	0	0	0	0	0	0	0	0	0	0
g__Streptococcus	0	40816.3265306123	7990.86757990868	966.183574879228	775.795190069822	10362.6943005181	10741.1385606874	2320.18561484918	0	2443.49419670128	1051.52471083071	6301.50266602037	0	955.109837631328	1473.83935151069	0	0	2097.90209790209	2936.85756240823	0	2178.64923747277	0	1698.75424688562	632.111251580279	0	0	3669.72477064219	0	3748.82849109653	2407.70465489567	17563.117453348	35502.9585798817	0	1165.50116550117	22260.2739726028	0
g__Sutterella	0	0	0	58937.1980676329	49650.8921644687	47927.4611398964	0	109048.723897912	14322.9166666667	0	0	20358.7009209889	7045.7976849522	7640.87870105062	13264.5541635962	102263.202011735	0	166433.566433567	0	0	13071.8954248366	23224.043715847	10192.5254813137	0	0	159190.853122251	1834.8623853211	26415.0943396226	0	0	0	0	5055.61172901922	0	0	0
g__Veillonella	0	0	6849.31506849315	0	0	0	1074.11385606874	0	0	0	0	0	0	0	0	0	0	0	0	0	17429.1938997822	0	0	0	0	4397.53737906772	0	0	937.207122774132	0	27991.2184412733	14792.899408284	0	0	0	0
